sentence,reference_summary
"URL: https://www.sinarharian.com.my/article/701600/berita/sukan/701600-some-article-title Title: Salah perkukuh cengkaman Liverpool di tangga teratas Liga Juara-Juara Content: GERGASI Liga Perdana Inggeris, Liverpool mengekalkan rekod 100 peratus tanpa kalah dalam Liga Juara-Juara musim ini apabila meraih kemenangan ke atas kelab La Liga Sepanyol, Girona 1-0 di Stadium Montilivi, Girona.","Liverpool kekal tanpa kalah dalam Liga Juara-Juara musim ini selepas menewaskan Girona 1-0 di Stadium Montilivi, memastikan rekod 100 peratus mereka terpelihara."
"Gol tunggal perlawanan dijelmakan menerusi penalti penyerang sensasi The Reds, Mohamed Salah pada minit ke-63 memastikan Liverpool mengumpul 18 mata selepas mengharungi enam perlawanan Kemenangan itu juga mengekalkan Liverpool kendalian Arne Slot di tangga teratas liga, lima mata di depan Bayer Leverkusen dan Aston Villa, manakala Girona pula kekal dengan tiga mata di tangga ke-30.","Gol tunggal perlawanan dijaringkan oleh Mohamed Salah menerusi penalti pada minit ke-63, membantu Liverpool mengumpul 18 mata dan mengekalkan kedudukan teratas liga."
"Girona beraksi di laman sendiri tampil agresif sepanjang 45 minit pertama bagi menghindari kekalahan kelima dalam pertandingan itu, namun Liverpool berjaya menyerap tekanan berusaha menyaingi Blanquivermells kendalian Michel.","Girona bermain agresif pada separuh masa pertama untuk mengelak kekalahan kelima berturut-turut, tetapi Liverpool berjaya mengatasi tekanan mereka."
"Penjaga gol Liverpool, Alisson, membuat penampilan pertamanya sejak awal Oktober selepas kecederaan hamstring, tampil cemerlang mengemudi benteng terakhir Liverpool apabila menafikan beberapa percubaan jentera Girona untuk mendahului permainan.","Penjaga gol Liverpool, Alisson, kembali selepas kecederaan dan melakukan beberapa penyelamatan penting untuk memastikan kemenangan pasukannya."
"Separuh masa kedua, Liverpool yang menguasai permainan bergelut apabila Girona menampilkan corak bertahan menyaksikan pasukan pelawat akhirnya mendapat sepakan penalti selepas Luis Diaz dikasari dan ia disempurnakan Salah.","Liverpool menguasai separuh masa kedua, dengan Salah menjaringkan gol penalti selepas Luis Diaz dikasari oleh pemain Girona."
"Enam kemenangan daripada enam perlawanan, anda tidak boleh meminta yang lebih baik daripada itu.

","Liverpool mencatat enam kemenangan daripada enam perlawanan, satu pencapaian yang sukar ditandingi oleh pasukan lain."
Ia tidak mudah untuk dilakukan atau akan ada lebih banyak pasukan yang melakukannya selepas ini.,"Kemenangan sempurna ini bukan sesuatu yang mudah dicapai, atau banyak pasukan akan melakukannya selepas ini."
"Sejujurnya, kami telah bermain jauh lebih baik daripada malam ini, kami tidak berada di tahap tertinggi, tetapi pada ketika ini ia mengenai memenangi perlawanan dan memastikan kelayakan, dan kami berjaya, kata pertahanan Liverpool, Andy Robertson.","Andy Robertson berkata bahawa meskipun Liverpool tidak bermain pada tahap terbaik, mereka tetap berjaya menang dan mengesahkan kelayakan."
"Sementara itu, pertahanan Girona, Alejandro Francés Torrijo berkata: ""Kami beraksi pada tahap sehabis baik, kami mempunyai peluang dan perlu menerima hakikat bahawa kami kalah.","Alejandro Francés Torrijo dari Girona mengakui bahawa pasukannya beraksi dengan baik, tetapi perlu menerima kekalahan."
Sudah tiba masanya untuk meneruskan baki saingan.,Girona kini perlu fokus untuk meneruskan baki perlawanan dalam saingan Liga Juara-Juara.
"Perkara utama ialah mempunyai peluang menentang pasukan yang hebat dan kami memilikinya. LIGA JUARA-JUARA Keputusan FC Dynamo Zagreb 0-0 Celtic FC FC Girona 0-1 Liverpool FC Brest FC 1-0 PSV Eindhoven FC Shaktar Donetsk 1-5 Bayern Munich FC Club Brugge 2-1 Sporting De Lisbon Red Bull Salzburg 0-3 Paris Saint-Germain Red Bull Leipzig 2-3 Aston Villa FC Bayern Leverkusen 1-0 Inter Milan Atalanta 2-3 Real Madrid URL: https://www.sinarharian.com.my/article/701620/berita/sukan/701620-some-article-title Title: Liverpool menang, tapi Slot tak puas hati Content: PENGENDALI Liverpool, Arne Slot menuntut persembahan lebih baik daripada pemainnya selepas sekadar meraih kemenangan 1-0 ke atas Girona dalam aksi Liga Juara-Juara pada Rabu.",Arne Slot menyatakan pentingnya peluang menentang pasukan hebat dan Liverpool berjaya meraih kemenangan dalam Liga Juara-Juara.
"Liverpool tidak beraksi pada tahap terbaik mereka di Estadi Montilivi, tetapi berjaya memperoleh kemenangan hasil sepakan penalti Mohamed Salah pada separuh masa kedua selepas Donny van de Beek mengasari Luis Díaz dalam kotak penalti.",Liverpool menang 1-0 ke atas Girona melalui sepakan penalti Mohamed Salah selepas Luis Díaz dikasari di dalam kotak penalti.
"Kemenangan itu bermakna Liverpool meneruskan rekod sempurna mereka di Eropah selepas memenangi kesemua enam perlawanan Liga Juara-Juara musim ini, tetapi Slot menegaskan prestasi mereka perlu berada pada tahap terbaik jika bercita-cita untuk menjuarai pertandingan itu.","Kemenangan ini mengekalkan rekod sempurna Liverpool dalam Liga Juara-Juara, tetapi Slot menegaskan mereka perlu beraksi lebih baik untuk menjuarai pertandingan."
"Jika anda bertanya kepada saya tentang semua enam perlawanan, saya sangat gembira dengan semua keputusan dan persembahan dalam lima perlawanan.","Slot gembira dengan keputusan lima perlawanan, tetapi tidak berpuas hati dengan prestasi dalam perlawanan ini."
"
Saya tidak berpuas hati dengan prestasi hari ini.","
Saya tidak berpuas hati dengan prestasi hari ini."
Kami berhak mendapat lebih daripada tiga mata iaitu permainan yang lebih bagus.,"Slot merasakan Liverpool berhak mendapat lebih daripada tiga mata, dan prestasi permainan perlu ditingkatkan."
Kami mempunyai penjaga gol yang luar biasa hari ini.,Slot memuji penjaga gol Alisson yang menunjukkan prestasi luar biasa dalam perlawanan tersebut.
"Namun, apabila kami kehilangan bola, kami tidak cukup agresif.","Slot berkata Liverpool kurang agresif apabila kehilangan bola, yang mempengaruhi kawalan permainan."
Hampir tiada kawalan pada keseluruhan permainan.,"Liverpool hampir tiada kawalan dalam keseluruhan permainan, tetapi separuh masa kedua lebih baik."
"Mungkin separuh masa kedua lebih baik, katanya.","Perkara positif bagi Liverpool adalah kembalinya Alisson selepas kecederaan, yang menyelamatkan beberapa percubaan berbahaya Girona."
Satu perkara positif untuk Liverpool ialah kembalinya Alisson dalam kesebelasan utama selepas penjaga gol itu telah diketepikan sejak 5 Oktober lalu akibat kecederaan.,"Alisson menyelamatkan Liverpool daripada kebobolan gol, mengekalkan rekod bersih kelima mereka di Eropah musim ini"
"Penjaga gol Brazil itu telah menyelamatkan beberapa percubaan berbahaya Girona untuk mengekalkan rekod bersih kelima Liverpool di Eropah musim ini, dan Slot pantas menggelarnya sebagai penjaga gol terbaik di dunia selepas perlawanan.",Slot menggelar Alisson sebagai penjaga gol terbaik di dunia selepas perlawanan.
Dia menunjukkan hari ini apa yang saya katakan berkali-kali bahawa dia adalah penjaga gol pertama kami.,"Alisson membuktikan dirinya sebagai penjaga gol utama Liverpool, menurut Slot."
Itu tiada kena mengena dengan Caoimhin (Kelleher) yang turut beraksi baik sepanjang tempoj Alisson cedera.,Slot menegaskan bahawa prestasi Alisson tidak mengurangkan penghargaan terhadap Caoimhin Kelleher yang juga beraksi baik semasa Alisson cedera.
"Tetapi, (Alisson) menunjukkan hari ini dia salah seorang yang terbaik.",Alisson menunjukkan prestasi terbaiknya dalam perlawanan ini dan dianggap sebagai salah seorang penjaga gol terbaik dunia.
"Pada pendapat saya, penjaga gol terbaik dalam dunia.",Slot percaya Alisson adalah penjaga gol terbaik dunia.
"Semoga dia dapat mengekalkan persembahan ini dan kekal cergas,"" katanya.",Slot berharap Alisson dapat mengekalkan prestasi cemerlang dan kekal cergas.
"URL: https://www.sinarharian.com.my/article/701621/berita/sukan/701621-some-article-title Title: WTF 2024: Langkah kanan Tang Jie-Ee Wei di Hangzhou Content: BEREGU campuran negara, Chen Tang Jie-Toh Ee Wei memulakan saingan Kejohanan Badminton Jelajah Dunia Akhir (WTF) 2024 di China dengan langkah kanan selepas menewaskan rakan senegara, Goh Soon Huat-Shevon Lai sebentar tadi.","Chen Tang Jie dan Toh Ee Wei memulakan saingan Kejohanan Badminton Jelajah Dunia Akhir 2024 dengan kemenangan 2-1 ke atas Goh Soon Huat dan Shevon Lai, walaupun perlawanan tersebut tidak mudah."
Kemenangan tersebut bagaimanapun bukan diraih dengan mudah apabila Tang Jie-Ee Wei dipaksa bekerja keras sehingga ke permainan penentuan dalam saingan Kumpulan B itu.,Tang Jie dan Ee Wei terpaksa berusaha keras dan menang dalam set penentuan selepas ketinggalan 0-1 pada set pertama.
"Dalam aksi di Pusat Sukan Olimpik Hangzhou itu, Soon Huat-Shevon yang menghuni ranking ke-10 dunia memulakan permainan dengan momentum positif apabila mendominasi set pertama menerusi kemenangan 21-14.","Goh Soon Huat dan Shevon Lai memulakan permainan dengan kemenangan 21-14 dalam set pertama, mendominasi dengan momentum positif."
"Tersentak dengan keputusan itu, Tang Jie-Ee Wei yang berstatus kelapan dunia memperkemaskan corak permainan dan ia berbaloi apabila menang 21-10 untuk mengheret saingan ke set penentuan.","Tang Jie dan Ee Wei memperkemaskan permainan dan menang 21-10 pada set kedua, memaksa perlawanan ke set penentuan."
Mereka kemudian meneruskan rentak bertenaga apabila menafikan pengalaman pasangan suami isteri yang mencecah usia 34 dan 31 tahun itu untuk mengesahkan kemenangan 21-14 dalam tempoh 50 minit permainan.Menerusi kemenangan tersebut Tang Jie-Ee Wei yang masing-masing berusia 26 dan 24 tahun menyamakan rekod kemenangan kepada 3-3 ke atas Soon Huat-Shevon.Kejohanan berprestij penutup musim itu menawarkan hadiah wang tunai keseluruhan AS$2.5 juta (RM11.11 juta).,"Mereka mengesahkan kemenangan 21-14 dalam tempoh 50 minit permainan, menyamakan rekod kemenangan mereka kepada 3-3 ke atas pasangan tersebut."
Mereka kemudian meneruskan rentak bertenaga apabila menafikan pengalaman pasangan suami isteri yang mencecah usia 34 dan 31 tahun itu untuk mengesahkan kemenangan 21-14 dalam tempoh 50 minit permainan.,"Kemenangan ini memperlihatkan kehebatan Tang Jie dan Ee Wei, yang mengalahkan pasangan yang lebih berpengalaman dalam perlawanan tersebut."
Menerusi kemenangan tersebut Tang Jie-Ee Wei yang masing-masing berusia 26 dan 24 tahun menyamakan rekod kemenangan kepada 3-3 ke atas Soon Huat-Shevon.,"Dengan kemenangan ini, Tang Jie dan Ee Wei, yang berusia 26 dan 24 tahun, menyamakan rekod kemenangan 3-3 ke atas pasangan Goh Soon Huat-Shevon Lai."
Kejohanan berprestij penutup musim itu menawarkan hadiah wang tunai keseluruhan AS$2.5 juta (RM11.11 juta).,Kejohanan ini menawarkan hadiah wang tunai keseluruhan AS$2.5 juta (RM11.11 juta).
"URL: https://www.sinarharian.com.my/article/701627/berita/sukan/701627-some-article-title Title: United sedia jual Rashford Content: MANCHESTER United dilaporkan bersedia mendengar tawaran daripada mana-mana pasukan untuk penyerang mereka, Marcus Rashford pada Januari nanti.","Manchester United bersedia untuk mendengar tawaran untuk menjual Marcus Rashford pada Januari, setelah prestasinya menurun sejak musim 2022-23."
"Rashford telah menjaringkan 138 gol untuk United sejak menyertai pasukan senior pada 2016, tetapi selepas kempen yang menakjubkan pada 2022-23, dia gagal untuk mengulangi prestasi itu.","Rashford, yang telah menjaringkan 138 gol untuk United sejak 2016, gagal mengulangi prestasinya yang cemerlang pada musim 2023-24, dengan hanya lapan gol."
"Penyerang England itu menjaringkan 30 gol pada musim tersebut dan kemudiannya menandatangani perjanjian lima tahun baharu bernilai £325,000 (RM1.8 juta) seminggu.","Rashford menjaringkan 30 gol pada musim 2022-23 dan menandatangani kontrak baru bernilai £325,000 seminggu."
"Bagaimanapun, dia hanya menjaringkan lapan gol pada musim 2023-24 selain turut dicemari isu disiplin yang menjejaskan persembahannya di atas padang.","Pada musim 2023-24, Rashford hanya menjaringkan lapan gol, dan isu disiplin turut menjejaskan prestasinya."
"Untuk musim ini pula, Rashford telah menjaringkan empat gol Liga Perdana Inggeris (EPL) dan telah menunjukkan tanda-tanda untuk kembali ke tahap terbaik sejak Ruben Amorim mengambil alih pasukan.",Rashford kini telah menjaringkan empat gol dalam Liga Perdana Inggeris 2024 dan menunjukkan peningkatan selepas Ruben Amorim mengambil alih pasukan.